Gene,T-stat,p-value,p-adj,-log10(p),-log10(p-adj),log2FC,Gene_clean,query,symbol
ENSG00000161849.3,-2.241216658051802,0.0349581670247698,,1.4564513469729146,,-1.2279468821757713,ENSG00000161849,ENSG00000161849,KRT84
ENSG00000179073.6,-2.2409301401510424,0.0349793039084879,,1.4561888372733098,,-1.6483674678747002,ENSG00000179073,ENSG00000179073,TAAR3P
ENSG00000222038.3,-2.240878130840802,0.0349831419651164,,1.4561411875150478,,-1.0941977238974905,ENSG00000222038,ENSG00000222038,POTEJ
ENSG00000242692.1,-2.2404356185469942,0.0350158129126052,,1.4557357867981937,,-1.2684575694250144,ENSG00000242692,ENSG00000242692,RPS27AP1
ENSG00000174912.7,-2.2393920150812616,0.0350929727331704,,1.4547798410485342,,-1.1740287267524676,ENSG00000174912,ENSG00000174912,METTL15P1
ENSG00000228339.1,-2.2387528416727376,0.0351403069724469,,1.45419444899162,,-1.394626377815882,ENSG00000228339,ENSG00000228339,AMD1P1
ENSG00000227890.1,-2.238304159376541,0.0351735690013101,,1.4537835623360449,,-1.3352836908253527,ENSG00000227890,ENSG00000227890,PSMA2P3
ENSG00000217372.2,-2.2377600604670898,0.0352139429393498,,1.4532853438327078,,-1.447555333695341,ENSG00000217372,ENSG00000217372,TUBB4BP7
ENSG00000262106.1,-2.2370251179066347,0.0352685450267125,,1.4526124564057696,,-1.792293294431976,ENSG00000262106,ENSG00000262106,OR1D3P
ENSG00000169193.11,-2.2361250432527013,0.0353355203861731,,1.4517885084477644,,-1.2379104643420034,ENSG00000169193,ENSG00000169193,CCDC126
ENSG00000197125.2,-2.234550620536722,0.0354529527471677,,1.450347588170666,,-1.913745105342095,ENSG00000197125,ENSG00000197125,OR8B8
ENSG00000282968.1,-2.2343901856656183,0.035464939094733,,1.4502007816449742,,-1.0779724308736898,ENSG00000282968,ENSG00000282968,AGGF1P10
ENSG00000255282.6,-2.234174056746325,0.0354810922596174,,1.450003019194788,,-1.2036756794639594,ENSG00000255282,ENSG00000255282,WTAPP1
ENSG00000158008.9,-2.233798249700641,0.0355091954670509,,1.4496591674105357,,-1.0142501598656646,ENSG00000158008,ENSG00000158008,EXTL1
ENSG00000168000.14,2.232596900875709,0.0355991692752156,,1.448560136392273,,1.1072278668098143,ENSG00000168000,ENSG00000168000,BSCL2
ENSG00000256553.1,-2.2308560718227435,0.0357299146778129,,1.4469680208812223,,-1.4106918865158753,ENSG00000256553,ENSG00000256553,TRAV1-2
ENSG00000118017.3,-2.2305830526996657,0.0357504593954927,,1.446718373117568,,-1.3616277893601794,ENSG00000118017,ENSG00000118017,A4GNT
ENSG00000226339.1,-2.2294794923021453,0.0358336118861609,,1.4457094144637843,,-1.6798877101468517,ENSG00000226339,ENSG00000226339,RPS26P56
ENSG00000170298.15,-2.2281406551826133,0.0359347282605953,,1.444485634941648,,-1.5384033841911204,ENSG00000170298,ENSG00000170298,LGALS9B
ENSG00000187942.11,-2.2277072816988657,0.0359675145245509,,1.444089572344614,,-1.3501680934660023,ENSG00000187942,ENSG00000187942,LDLRAD2
ENSG00000259408.2,-2.227601197597264,0.0359755443086873,,1.4439926264818073,,-1.3414555536977733,ENSG00000259408,ENSG00000259408,
ENSG00000213178.3,-2.227596651482556,0.0359758884524382,,1.4439884720202132,,-1.4283938990331784,ENSG00000213178,ENSG00000213178,RPL22P1
ENSG00000260740.2,-2.22651740129668,0.0360576730696933,,1.4430023032819257,,-1.4801923502667698,ENSG00000260740,ENSG00000260740,
ENSG00000198974.3,-2.226092234999665,0.0360899381461812,,1.4426138622684284,,-1.6902250578397755,ENSG00000198974,ENSG00000198974,MIR30E
ENSG00000257199.2,-2.225189240860609,0.0361585517127439,,1.44178897299092,,-1.6553710822597123,ENSG00000257199,ENSG00000257199,
