Gene,T-stat,p-value,p-adj,-log10(p),-log10(p-adj),log2FC,Gene_clean,query,symbol
ENSG00000230311.2,-1.730106149039354,0.0970098249161412,,1.0131842792307957,,-1.4063710685687336,ENSG00000230311,ENSG00000230311,TOMM20P4
ENSG00000227590.2,-1.7288250679658668,0.0972429803275755,,1.0121417392570702,,-1.038881202731321,ENSG00000227590,ENSG00000227590,ATP5MC1P5
ENSG00000253750.1,-1.7215011804185594,0.0985851067955106,,1.0061886887612692,,-0.6631770625554896,ENSG00000253750,ENSG00000253750,COXFA4P4
ENSG00000184752.12,-1.70837452554699,0.1010300666237529,,0.9955493606174396,,-0.6247917945738184,ENSG00000184752,ENSG00000184752,NDUFA12
ENSG00000210127.1,-1.6902653408840311,0.104487430575465,,0.9809359503188696,,-0.4597937616682541,ENSG00000210127,ENSG00000210127,MT-TA
ENSG00000239576.1,-1.6613247725836149,0.1102203685784825,,0.9577381410211864,,-0.2801079191927352,ENSG00000239576,ENSG00000239576,COX6CP14
ENSG00000236930.1,-1.6566396082092831,0.1111729541602718,,0.954000853829376,,-0.8627733842871557,ENSG00000236930,ENSG00000236930,SDHDP4
ENSG00000248648.1,-1.6548958330180727,0.1115292623900653,,0.9526111700400632,,-0.9448852352560874,ENSG00000248648,ENSG00000248648,COXFA4P3
ENSG00000256310.1,-1.6464612986242892,0.1132662884421041,,0.9458993304024804,,-0.9911997081356791,ENSG00000256310,ENSG00000256310,NDUFA5P6
ENSG00000154723.12,-1.6441262067719415,0.1137511793713736,,0.94404409188558,,-0.4634953582507804,ENSG00000154723,ENSG00000154723,ATP5PF
ENSG00000198727.2,-1.6394617719361435,0.1147249850676749,,0.940341990160013,,-0.1691255772346676,ENSG00000198727,ENSG00000198727,MT-CYB
ENSG00000230609.1,-1.6370512827466992,0.1152309633235331,,0.9384308074257056,,-0.5078410662828422,ENSG00000230609,ENSG00000230609,COX7CP4
ENSG00000234565.1,-1.6325845705027096,0.116173502187406,,0.9348929181255118,,-1.412486257648746,ENSG00000234565,ENSG00000234565,COX6B1P1
ENSG00000240156.1,1.6170047362299695,0.1195117384352662,,0.9225894362447594,,0.4847069322603439,ENSG00000240156,ENSG00000240156,COX6CP6
ENSG00000228869.1,-1.607737781875396,0.1215350721863113,,0.9152983767239288,,-0.3289154313027131,ENSG00000228869,ENSG00000228869,COX4I1P2
ENSG00000235258.1,1.6007446766766982,0.1230807751040687,,0.9098097774362788,,1.001738281409833,ENSG00000235258,ENSG00000235258,NDUFB4P6
ENSG00000231715.1,1.5971132631591607,0.1238898700246033,,0.9069642026818218,,0.9131197497294118,ENSG00000231715,ENSG00000231715,COX6CP2
ENSG00000210107.1,-1.591885039189013,0.1250625077620323,,0.9028728670651291,,-0.2803539074856487,ENSG00000210107,ENSG00000210107,MT-TQ
ENSG00000232734.1,-1.5808248247333216,0.1275736080581143,,0.8942391615101575,,-1.2084473098284565,ENSG00000232734,ENSG00000232734,ATP5MC1P7
ENSG00000131174.4,1.5708953318016017,0.1298634709277567,,0.8865129936962287,,0.6846151171239647,ENSG00000131174,ENSG00000131174,COX7B
ENSG00000164405.10,1.5704545965895778,0.129965893391746,,0.8861706035021568,,0.6960389374094623,ENSG00000164405,ENSG00000164405,UQCRQ
ENSG00000214342.2,-1.5641450462487592,0.1314395106541452,,0.8812740664369636,,-0.4648122377146282,ENSG00000214342,ENSG00000214342,ATP5PBP2
ENSG00000210140.1,-1.5431061112536084,0.1364532795450672,,0.8650160219493072,,-0.362570079384708,ENSG00000210140,ENSG00000210140,MT-TC
ENSG00000241905.1,-1.5372264411223322,0.1378822699838538,,0.8604915753268503,,-0.5267788923657387,ENSG00000241905,ENSG00000241905,NDUFS6P1
ENSG00000242244.1,-1.5025696757270743,0.1465568211182893,,0.833993963611801,,-0.6081232083709605,ENSG00000242244,ENSG00000242244,ATP5MC1P3
ENSG00000236764.4,-1.502025554987526,0.1466964869338994,,0.8335802864531765,,-0.4700583916728573,ENSG00000236764,ENSG00000236764,COX7A2P2
ENSG00000242365.1,-1.501929987848726,0.1467210284673793,,0.8335076373982759,,-0.8701223051759439,ENSG00000242365,ENSG00000242365,NDUFA5P5
ENSG00000229184.2,-1.492620711239536,0.1491277292840292,,0.8264415949417405,,-0.9001216938686719,ENSG00000229184,ENSG00000229184,ATP5PDP2
ENSG00000214429.3,-1.484352045380331,0.1512922511490601,,0.8201833149998399,,-0.8820397640341704,ENSG00000214429,ENSG00000214429,CYCSP6
ENSG00000264444.1,-1.481466401520471,0.1520536182938134,,0.8180032408513834,,-0.7777767857844117,ENSG00000264444,ENSG00000264444,SDHCP1
ENSG00000277156.1,1.4799935442378878,0.1524434236668554,,0.8168913061414969,,0.9304394917158,ENSG00000277156,ENSG00000277156,TOMM40P1
ENSG00000242036.1,-1.4740748662789631,0.1540180386587124,,0.8124284114287588,,-0.6459578994837518,ENSG00000242036,ENSG00000242036,CYCSP56
ENSG00000249909.1,-1.4718579421031277,0.1546112151736353,,0.8107590064632022,,-0.5902300858495583,ENSG00000249909,ENSG00000249909,CYCTP
ENSG00000278678.1,-1.471719463694689,0.1546483287834093,,0.810654768865232,,-0.6806026046791422,ENSG00000278678,ENSG00000278678,CYCSP41
ENSG00000259374.2,-1.456703024280198,0.1587158702080398,,0.7993796453990295,,-0.5387906054226105,ENSG00000259374,ENSG00000259374,NDUFB4P11
ENSG00000226085.3,-1.4333661115433156,0.1652080557504304,,0.78196877975982,,-1.0162240566379477,ENSG00000226085,ENSG00000226085,UQCRFS1P1
ENSG00000234946.1,-1.426603215747675,0.1671287846691435,,0.7769487449217964,,-1.1709938672906772,ENSG00000234946,ENSG00000234946,SDHCP3
ENSG00000143252.14,-1.4219329637560392,0.1684655944246909,,0.7734887813042781,,-0.345011522612656,ENSG00000143252,ENSG00000143252,SDHC
ENSG00000198888.2,-1.4215039382293384,0.1685888263259095,,0.7731712127824995,,-0.3914363788569799,ENSG00000198888,ENSG00000198888,MT-ND1
ENSG00000175768.12,-1.4136963744222897,0.170844066363843,,0.7674001002142988,,-0.6639495630292328,ENSG00000175768,ENSG00000175768,TOMM5
ENSG00000261424.1,-1.4070757742262885,0.1727752663388863,,0.7625184288789213,,-0.8866384440071932,ENSG00000261424,ENSG00000261424,ATP5PBP7
ENSG00000215270.3,1.400700538037194,0.1746513027138685,,0.7578281706370723,,0.7438348864980141,ENSG00000215270,ENSG00000215270,TOMM40P2
ENSG00000213619.9,-1.3999160077514896,0.1748832821543433,,0.7572517046158727,,-0.5562859634541206,ENSG00000213619,ENSG00000213619,NDUFS3
ENSG00000253454.1,-1.3717588518506456,0.1833724892351016,,0.7366658195361494,,-0.7880978096713339,ENSG00000253454,ENSG00000253454,NDUFA5P2
ENSG00000251437.1,1.3591265181846537,0.1872853856060726,,0.727496110495919,,0.6978771336607975,ENSG00000251437,ENSG00000251437,NDUFS5P4
ENSG00000224004.2,-1.3390529563390696,0.1936380430542439,,0.7130093150780278,,-0.6998243113759658,ENSG00000224004,ENSG00000224004,ATP5F1CP1
ENSG00000169020.9,-1.3372082080867715,0.1942302166858772,,0.7116832053285947,,-0.541771467891652,ENSG00000169020,ENSG00000169020,ATP5ME
ENSG00000232786.1,-1.332755615026884,0.1956653587738601,,0.7084860564321528,,-0.5250551290933462,ENSG00000232786,ENSG00000232786,TIMM9P3
ENSG00000131143.8,-1.3274736964896636,0.1973785360030652,,0.7047000766018201,,-0.4466951744642471,ENSG00000131143,ENSG00000131143,COX4I1
ENSG00000223625.1,-1.3228151378616322,0.1988992220375236,,0.7013669155456065,,-0.7319573734944166,ENSG00000223625,ENSG00000223625,CYCSP32
ENSG00000090266.12,1.3194179488629645,0.2000139063264352,,0.6989398081816287,,0.557962771819168,ENSG00000090266,ENSG00000090266,NDUFB2
ENSG00000232503.1,-1.3103580150134193,0.2030104264811681,,0.6924816564367708,,-0.6839011928177572,ENSG00000232503,ENSG00000232503,CYCSP8
ENSG00000231635.1,-1.3027410908133366,0.2055565538042351,,0.687068671957628,,-0.890877716538353,ENSG00000231635,ENSG00000231635,ATP5F1BP1
ENSG00000242561.1,-1.298717315918544,0.206911542020456,,0.6842152826741249,,-0.294456910464298,ENSG00000242561,ENSG00000242561,ATP5MGP5
